,name,link,tel,email,website,addr,rank,ratings,review_num
12,Brasserie 701,http://www.tripadvisor.ca/Restaurant_Review-g155032-d844411-Reviews-Brasserie_701-Montreal_Quebec.html,+1 514-904-1201,mailto:info@brasserie701.com,Website,"701, Cote de la Place d'Armes, Montreal, Quebec H2Y 2X6 Canada","#13 of 4,030 Restaurants in Montreal",4.5,"1,572"
13,Le Filet,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2276308-Reviews-Le_Filet-Montreal_Quebec.html,+1 514-360-6060,,Website,"219 Avenue du Mont-Royal Ouest, Montreal, Quebec H2T 2T2 Canada","#14 of 4,030 Restaurants in Montreal",4.5,575
14,Le Mousso,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8803927-Reviews-Le_Mousso-Montreal_Quebec.html,+1 438-384-7410,,Website,"1023 Rue Ontario Est village Montréal, Montreal, Quebec H2L 1P8 Canada","#16 of 4,030 Restaurants in Montreal",4.5,168
15,Ile Flottante,http://www.tripadvisor.ca/Restaurant_Review-g155032-d792858-Reviews-Ile_Flottante-Montreal_Quebec.html,+1 514-278-6854,mailto:info@restaurantileflottante.com,Website,"174-176 Rue Saint Viateur Ouest, Montreal, Quebec H2T 2L3 Canada","#15 of 4,030 Restaurants in Montreal",4.5,840
16,Restaurant L'Avenue,http://www.tripadvisor.ca/Restaurant_Review-g155032-d705765-Reviews-Restaurant_L_Avenue-Montreal_Quebec.html,+1 514-523-8780,,Website,"922 Avenue du Mont-Royal Est, Montreal, Quebec H2J 1X2 Canada","#17 of 4,030 Restaurants in Montreal",4.5,"1,083"
17,Bouillon Bilk,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2100005-Reviews-Bouillon_Bilk-Montreal_Quebec.html,+1 514-845-1595,mailto:bouillonbilk@gmail.com,Website,"1595 Boul Saint-Laurent, Montreal, Quebec H2X 2S9 Canada","#18 of 4,030 Restaurants in Montreal",4.5,"1,289"
18,Le Club Chasse Et Peche,http://www.tripadvisor.ca/Restaurant_Review-g155032-d783779-Reviews-Le_Club_Chasse_Et_Peche-Montreal_Quebec.html,+1 514-861-1112,,Website,"423, rue St-Claude, Montreal, Quebec H2Y 3B6 Canada","#19 of 4,030 Restaurants in Montreal",4.5,"1,108"
19,Regine Cafe,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3826380-Reviews-Regine_Cafe-Montreal_Quebec.html,+1 514-903-0676,mailto:info@reginecafe.ca,Website,"1840 Rue Beaubien Est, Montreal, Quebec H2G 1L6 Canada","#20 of 4,030 Restaurants in Montreal",4.5,638
20,Restaurant Le Pegase,http://www.tripadvisor.ca/Restaurant_Review-g155032-d706145-Reviews-Restaurant_Le_Pegase-Montreal_Quebec.html,+1 514-522-0487,mailto:info@lepegase.ca,Website,"1831 rue Gilford, Montreal, Quebec H2H 1G6 Canada","#21 of 4,030 Restaurants in Montreal",4.5,323
21,Stash Cafe,http://www.tripadvisor.ca/Restaurant_Review-g155032-d709263-Reviews-Stash_Cafe-Montreal_Quebec.html,+1 514-845-6611,mailto:restaurantstashcafe@gmail.com,Website,"200 rue St-Paul Ouest, Montreal, Quebec H2Y 1Z9 Canada","#22 of 4,030 Restaurants in Montreal",4.5,"1,289"
22,Chez Chose,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1979252-Reviews-Chez_Chose-Montreal_Quebec.html,+1 514-843-2152,mailto:chezchose.resto@gmail.com,Website,"1879, Rue Belanger Montreal 1879, Rue Belanger, Montreal, Quebec H2G 1B6 Canada","#23 of 4,030 Restaurants in Montreal",4.5,332
23,Le Robin Square,http://www.tripadvisor.ca/Restaurant_Review-g155032-d6771045-Reviews-Le_Robin_Square-Montreal_Quebec.html,+1 514-508-5770,mailto:lerobinsquare@gmail.com,Website,"300 Notre Dame East, Montreal, Quebec H2Y 1C7 Canada","#24 of 4,030 Restaurants in Montreal",4.5,838
24,Restaurant de l'ITHQ,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2619990-Reviews-Restaurant_de_l_ITHQ-Montreal_Quebec.html,+1 514-282-5155,mailto:restaurant@ithq.qc.ca,Website,"3535 Rue Saint-Denis, Montreal, Quebec H2X 3P1 Canada","#25 of 4,030 Restaurants in Montreal",4.5,297
25,Bonaparte,http://www.tripadvisor.ca/Restaurant_Review-g155032-d777728-Reviews-Bonaparte-Montreal_Quebec.html,+1 514-844-4368,,Website,"443 Rue St. Francois Xavier, Montreal, Quebec H2Y 2T1 Canada","#26 of 4,030 Restaurants in Montreal",4.5,"2,104"
26,Kyo Bar Japonais,http://www.tripadvisor.ca/Restaurant_Review-g155032-d802760-Reviews-Kyo_Bar_Japonais-Montreal_Quebec.html,+1 514-282-2711,mailto:info@kyobar.com,Website,"711, Cote de la Place d'Armes, Montreal, Quebec H2Y 2X6 Canada","#27 of 4,030 Restaurants in Montreal",4.5,"1,184"
27,Tuck Shop,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2103523-Reviews-Tuck_Shop-Montreal_Quebec.html,+1 514-439-7432,mailto:info@tuckshop.ca,Website,"4662 Rue Notre-Dame Ouest, Montreal, Quebec H4C 1S6 Canada","#28 of 4,030 Restaurants in Montreal",4.5,271
28,Terrasse William Gray,http://www.tripadvisor.ca/Restaurant_Review-g155032-d11445457-Reviews-Terrasse_William_Gray-Montreal_Quebec.html,+1 438-387-2010,mailto:info@terrassewilliamgray.com,Website,"421, Rue St-Vincent 8e Étage, Montreal, Quebec H2Y 3A6 Canada","#29 of 4,030 Restaurants in Montreal",4.5,339
29,Maggie Oakes,http://www.tripadvisor.ca/Restaurant_Review-g155032-d10390223-Reviews-Maggie_Oakes-Montreal_Quebec.html,+1 514-656-6000,mailto:info@maggieoakes.com,Website,"426, Place Jacques-Cartier Montréal, Montreal, Quebec H2Y 3B3 Canada","#30 of 4,030 Restaurants in Montreal",4.5,"1,182"
30,Il Focolaio,http://www.tripadvisor.ca/Restaurant_Review-g155032-d930240-Reviews-Il_Focolaio-Montreal_Quebec.html,+1 514-879-1045,mailto:info@ilfocolaio.ca,Website,"1223 Rue du Square-Phillips, Montreal, Quebec H3B 3E9 Canada","#31 of 4,030 Restaurants in Montreal",4.5,"1,457"
31,L'Atelier de Joel Robuchon - Montreal,http://www.tripadvisor.ca/Restaurant_Review-g155032-d11749164-Reviews-L_Atelier_de_Joel_Robuchon_Montreal-Montreal_Quebec.html,+1 514-392-2781,,Website,"1, avenue du Casino, Montreal, Quebec H3C 4W7 Canada","#32 of 4,030 Restaurants in Montreal",4.5,180
32,Mechant Boeuf Bar Brasserie,http://www.tripadvisor.ca/Restaurant_Review-g155032-d806941-Reviews-Mechant_Boeuf_Bar_Brasserie-Montreal_Quebec.html,+1 514-788-4020,mailto:info@mechantboeuf.com,Website,"124, St-Paul Street West, Montreal, Quebec H2Y 1Z3 Canada","#33 of 4,030 Restaurants in Montreal",4.5,"1,070"
33,Pamika Brasserie Thai,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3598366-Reviews-Pamika_Brasserie_Thai-Montreal_Quebec.html,+1 514-508-9444,mailto:info@pamikathai.ca,Website,"901 Sherbrooke East, Montreal, Quebec H2L 1L3 Canada","#34 of 4,030 Restaurants in Montreal",4.5,732
34,Cafe Chat l'Heureux,http://www.tripadvisor.ca/Restaurant_Review-g155032-d7115863-Reviews-Cafe_Chat_l_Heureux-Montreal_Quebec.html,+1 438-333-1505,mailto:info@cafechatlheureux.com,Website,"172, Duluth East Plateau Mont-Royal, Montreal, Quebec H2W 1H3 Canada","#35 of 4,030 Restaurants in Montreal",4.5,314
35,Atma,http://www.tripadvisor.ca/Restaurant_Review-g155032-d805165-Reviews-Atma-Montreal_Quebec.html,+1 514-798-8484,mailto:info@restaurantatma.ca,Website,"3962 Boul. St-Laurent Corner Duluth Street, Montreal, Quebec H2W 1Y3 Canada","#36 of 4,030 Restaurants in Montreal",4.5,486
36,Jellyfish Crudo+Charbon,http://www.tripadvisor.ca/Restaurant_Review-g155032-d9745234-Reviews-Jellyfish_Crudo_Charbon-Montreal_Quebec.html,+1 514-303-0908,mailto:info@jellyfishmontreal.com,Website,"626 Margerite d'youville McGill, Montreal, Quebec H3C 1W7 Canada","#37 of 4,030 Restaurants in Montreal",4.5,227
37,Restaurant Le Quartier General,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1916755-Reviews-Restaurant_Le_Quartier_General-Montreal_Quebec.html,+1 514-658-1839,mailto:resto@legg.ca,Website,"1251, Rue Gilford, Montreal, Quebec H2J 1R3 Canada","#38 of 4,030 Restaurants in Montreal",4.5,456
38,Salumi Vino,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3266449-Reviews-Salumi_Vino-Montreal_Quebec.html,+1 514-759-0505,mailto:salumivino@gmail.com,Website,"358 rue Notre Dame E., Montreal, Quebec H2Y 1C7 Canada","#39 of 4,030 Restaurants in Montreal",4.5,558
39,Bis,http://www.tripadvisor.ca/Restaurant_Review-g155032-d708416-Reviews-Bis-Montreal_Quebec.html,+1 514-866-3234,mailto:eat@bisristorante.com,Website,"1229 Rue de la Montagne, Montreal, Quebec H3G 1Z2 Canada","#40 of 4,030 Restaurants in Montreal",4.5,781
40,Perche,http://www.tripadvisor.ca/Restaurant_Review-g155032-d12596556-Reviews-Perche-Montreal_Quebec.html,+1 514-379-2010,mailto:info@perchemtl.com,Website,"153 rue Saint-Amable 4e Étage, Montreal, Quebec H2Y 1E7 Canada","#41 of 4,030 Restaurants in Montreal",4.5,152
41,Le Serpent,http://www.tripadvisor.ca/Restaurant_Review-g155032-d6017748-Reviews-Le_Serpent-Montreal_Quebec.html,+1 514-316-4666,,Website,"257 Prince, Montreal, Quebec H3C 2N4 Canada","#42 of 4,030 Restaurants in Montreal",4.5,395
42,Breizh cafe,http://www.tripadvisor.ca/Restaurant_Review-g155032-d5038695-Reviews-Breizh_cafe-Montreal_Quebec.html,+1 514-419-5634,mailto:breizhcafemtl@gmail.com,Website,"3991, boulevard saint-Laurent, Montreal, Quebec H2W 1Y4 Canada","#43 of 4,030 Restaurants in Montreal",4.5,182
43,Tapeo,http://www.tripadvisor.ca/Restaurant_Review-g155032-d778759-Reviews-Tapeo-Montreal_Quebec.html,+1 514-495-1999,,Website,"511 Villeray, Montreal, Quebec H2R 1H5 Canada","#44 of 4,030 Restaurants in Montreal",4.5,414
44,Bar George,http://www.tripadvisor.ca/Restaurant_Review-g155032-d12445121-Reviews-Bar_George-Montreal_Quebec.html,+1 514-669-9243,,Website,"1440, Rue Drummond, Montreal, Quebec H3G 1V9 Canada","#45 of 4,030 Restaurants in Montreal",4.5,233
45,Modavie,http://www.tripadvisor.ca/Restaurant_Review-g155032-d706964-Reviews-Modavie-Montreal_Quebec.html,+1 514-287-9582,mailto:info@modavie.com,Website,"1 St Paul W, Montreal, Quebec H2Y 1Y6 Canada","#46 of 4,030 Restaurants in Montreal",4.5,"4,514"
46,Il Campari Centro Restaurant,http://www.tripadvisor.ca/Restaurant_Review-g155032-d705065-Reviews-Il_Campari_Centro_Restaurant-Montreal_Quebec.html,+1 514-868-1177,mailto:campari@videotron.ca,Website,"1177 rue de la Montagne, Montreal, Quebec H3G 1Z2 Canada","#47 of 4,030 Restaurants in Montreal",4.5,492
47,Ma Poule Mouillee,http://www.tripadvisor.ca/Restaurant_Review-g155032-d5103058-Reviews-Ma_Poule_Mouillee-Montreal_Quebec.html,+1 514-522-5175,,Website,"969 Rachel Street East, Montreal, Quebec H2J 2J4 Canada","#48 of 4,030 Restaurants in Montreal",4.5,547
48,Barroco,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1551026-Reviews-Barroco-Montreal_Quebec.html,+1 514-544-5800,mailto:info@barroco.ca,Website,"312 St-Paul O., Montreal, Quebec H2Y 2A3 Canada","#49 of 4,030 Restaurants in Montreal",4.5,721
49,Arepera,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2242319-Reviews-Arepera-Montreal_Quebec.html,+1 514-508-7267,mailto:areperaduplateau@hotmail.com,Website,"73 Prince Arthur, Montreal, Quebec H2W 1H1 Canada","#50 of 4,030 Restaurants in Montreal",4.5,572
50,Cadet,http://www.tripadvisor.ca/Restaurant_Review-g155032-d10520410-Reviews-Cadet-Montreal_Quebec.html,+1 514-903-1631,,Website,"1431 St-Laurent Boulevard, Montreal, Quebec H2X 2S8 Canada","#51 of 4,030 Restaurants in Montreal",4.5,264
51,Taverne Gaspar,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2286746-Reviews-Taverne_Gaspar-Montreal_Quebec.html,+1 514-392-1649,mailto:info@tavernegaspar.com,Website,"89, rue de la Commune Est, Montreal, Quebec H2Y 1J1 Canada","#52 of 4,030 Restaurants in Montreal",4.5,"1,012"
52,Le Cartet,http://www.tripadvisor.ca/Restaurant_Review-g155032-d799116-Reviews-Le_Cartet-Montreal_Quebec.html,+1 514-871-8887,mailto:lecartet@videotron.ca,Website,"106, rue McGill, Montreal, Quebec H2Y 2E5 Canada","#53 of 4,030 Restaurants in Montreal",4.5,636
53,Delices Erable & Cie,http://www.tripadvisor.ca/Restaurant_Review-g155032-d683245-Reviews-Delices_Erable_Cie-Montreal_Quebec.html,+1 514-765-3456,,Website,"84, St-Paul Street East, Montreal, Quebec H2Y 1G6 Canada","#54 of 4,030 Restaurants in Montreal",4.5,297
54,Olive & Gourmando,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1022618-Reviews-Olive_Gourmando-Montreal_Quebec.html,+1 514-350-1083,mailto:info@oliveetgourmando.com,Website,"351 Saint-Paul West, Montreal, Quebec H2Y 2A7 Canada","#55 of 4,030 Restaurants in Montreal",4.5,"1,700"
55,Restaurant Epik,http://www.tripadvisor.ca/Restaurant_Review-g155032-d6725189-Reviews-Restaurant_Epik-Montreal_Quebec.html,+1 514-842-2912,mailto:info@restaurantepik.com,Website,"171 Rue Saint-Paul Ouest Hotel Épik Montreal, Montreal, Quebec H2Y 1Z5 Canada","#56 of 4,030 Restaurants in Montreal",4.5,242
56,Ristorante Quattro,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1948253-Reviews-Ristorante_Quattro-Montreal_Quebec.html,+1 514-903-2909,mailto:info@ristorantequattro.com,Website,"17 Notre-Dame Street West, Montreal, Quebec H2Y 1S5 Canada","#57 of 4,030 Restaurants in Montreal",4.5,905
57,Lola Rosa,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4849077-Reviews-Lola_Rosa-Montreal_Quebec.html,+1 514-843-5652,mailto:pascal@lola-rosa.ca,Website,"4581 Avenue du Parc, Montreal, Quebec H2V 4E4 Canada","#58 of 4,030 Restaurants in Montreal",4.5,247
58,Yokato Yokabai,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8490133-Reviews-Yokato_Yokabai-Montreal_Quebec.html,+1 514-282-9991,,Website,"4185 rue Drolet, Montreal, Quebec H2W 2L5 Canada","#59 of 4,030 Restaurants in Montreal",4.5,174
59,Montreal Plaza,http://www.tripadvisor.ca/Restaurant_Review-g155032-d8797351-Reviews-Montreal_Plaza-Montreal_Quebec.html,+1 514-903-6230,,Website,"6230 Rue St. Hubert, Montreal, Quebec H2S 2M2 Canada","#60 of 4,030 Restaurants in Montreal",4.5,254
60,Chez Delmo,http://www.tripadvisor.ca/Restaurant_Review-g155032-d781338-Reviews-Chez_Delmo-Montreal_Quebec.html,+1 514-288-4288,mailto:info@chezdelmo.com,Website,"275 Notre-Dame St West 3 blocks west of Notre Dame basilica, Montreal, Quebec H2Y 1T8 Canada","#61 of 4,030 Restaurants in Montreal",4.5,627
61,Kazu,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1800006-Reviews-Kazu-Montreal_Quebec.html,,mailto:restaurantkazu@gmail.com,Website,"1862 Saint Catherine w, Montreal, Quebec H3H 1M1 Canada","#62 of 4,030 Restaurants in Montreal",4.5,378
62,Chalet Bar B-Q,http://www.tripadvisor.ca/Restaurant_Review-g155032-d683505-Reviews-Chalet_Bar_B_Q-Montreal_Quebec.html,+1 514-489-7235,,Website,"5456 rue Sherbrooke O, Montreal, Quebec H4A 1V9 Canada","#63 of 4,030 Restaurants in Montreal",4.5,354
63,Cuisines Prathet Thai,http://www.tripadvisor.ca/Restaurant_Review-g155032-d707871-Reviews-Cuisines_Prathet_Thai-Montreal_Quebec.html,+1 514-933-9949,,Website,"1235 Rue Guy, Montreal, Quebec H3H 2K5 Canada","#64 of 4,030 Restaurants in Montreal",4.5,292
64,Cafe Lola Rosa,http://www.tripadvisor.ca/Restaurant_Review-g155032-d794410-Reviews-Cafe_Lola_Rosa-Montreal_Quebec.html,+1 514-287-9337,mailto:info@lolarosa.ca,Website,"545 Milton, Montreal, Quebec H2X 1W5 Canada","#65 of 4,030 Restaurants in Montreal",4.5,624
65,Renoir - Sofitel Montreal Golden Mile,http://www.tripadvisor.ca/Restaurant_Review-g155032-d708304-Reviews-Renoir_Sofitel_Montreal_Golden_Mile-Montreal_Quebec.html,+1 514-788-3038,mailto:sofitelmontreal.restaurant@sofitel.com,Website,"1155 Sherbrooke St. West, Montreal, Quebec H3A 2N3 Canada","#66 of 4,030 Restaurants in Montreal",4.5,577
66,Restaurant Holder,http://www.tripadvisor.ca/Restaurant_Review-g155032-d708324-Reviews-Restaurant_Holder-Montreal_Quebec.html,+1 514-849-0333,,Website,"407 McGill Street, Montreal, Quebec H2Y 2G3 Canada","#67 of 4,030 Restaurants in Montreal",4.5,"1,435"
67,Da Vinci Restaurant,http://www.tripadvisor.ca/Restaurant_Review-g155032-d684018-Reviews-Da_Vinci_Restaurant-Montreal_Quebec.html,+1 514-874-2001,mailto:info@davinci.ca,Website,"1180 Rue Bishop, Montreal, Quebec H3G 2E3 Canada","#68 of 4,030 Restaurants in Montreal",4.5,384
68,Bocata Restaurant Bar a Vin,http://www.tripadvisor.ca/Restaurant_Review-g155032-d2085504-Reviews-Bocata_Restaurant_Bar_a_Vin-Montreal_Quebec.html,+1 514-507-8727,mailto:info@bocata.ca,Website,"310, Saint-Paul O., Montreal, Quebec H2Y 2A3 Canada","#69 of 4,030 Restaurants in Montreal",4.5,498
69,Jerome Ferrer - Europea,http://www.tripadvisor.ca/Restaurant_Review-g155032-d684527-Reviews-Jerome_Ferrer_Europea-Montreal_Quebec.html,+1 514-398-9229,mailto:info@europea.ca,Website,"1065 Rue de la Montagne, Montreal, Quebec H3G 0B9 Canada","#70 of 4,030 Restaurants in Montreal",4.5,"2,964"
70,Escondite,http://www.tripadvisor.ca/Restaurant_Review-g155032-d7815407-Reviews-Escondite-Montreal_Quebec.html,+1 514-419-9755,mailto:escondite.mtl@gmail.com,Website,"1206, Union, Montreal, Quebec H3B 3C4 Canada","#71 of 4,030 Restaurants in Montreal",4.5,420
71,Verses Bistro,http://www.tripadvisor.ca/Restaurant_Review-g155032-d710475-Reviews-Verses_Bistro-Montreal_Quebec.html,+1 514-788-4000,mailto:verses@hotelnelligan.com,Website,"100 Saint-Paul Street West Corner of St-Sulpice, Montreal, Quebec H2Y 1Z3 Canada","#72 of 4,030 Restaurants in Montreal",4.5,"1,003"
72,H4C,http://www.tripadvisor.ca/Restaurant_Review-g155032-d4752261-Reviews-H4C-Montreal_Quebec.html,+1 514-316-7234,mailto:info@leh4c.com,Website,"538 Place Saint-Henri, Montreal, Quebec H4C 2R9 Canada","#73 of 4,030 Restaurants in Montreal",4.5,208
73,The Keg Steakhouse + Bar Place Ville Marie,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1118056-Reviews-The_Keg_Steakhouse_Bar_Place_Ville_Marie-Montreal_Quebec.html,+1 514-868-1999,mailto:placevillemarie@kegrestaurants.com,Website,"5 Place Ville-Marie Suite 12500, Montreal, Quebec H3B 2G2 Canada","#74 of 4,030 Restaurants in Montreal",4.5,"1,348"
74,Ferreira Cafe,http://www.tripadvisor.ca/Restaurant_Review-g155032-d704211-Reviews-Ferreira_Cafe-Montreal_Quebec.html,+1 514-848-0988,mailto:info@ferreiracafe.com,Website,"1446 Peel Street, Montreal, Quebec H3A 1S8 Canada","#75 of 4,030 Restaurants in Montreal",4.5,"1,115"
75,Philinos,http://www.tripadvisor.ca/Restaurant_Review-g155032-d707881-Reviews-Philinos-Montreal_Quebec.html,+1 514-271-9099,,Website,"4806, Parc Avenue, Montreal, Quebec H2V 4E6 Canada","#76 of 4,030 Restaurants in Montreal",4.5,194
76,Taverne Square Dominion,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1998231-Reviews-Taverne_Square_Dominion-Montreal_Quebec.html,+1 514-564-5056,mailto:info@tavernedominion.com,Website,"1243 Metcalfe, Montreal, Quebec H3B 2V5 Canada","#77 of 4,030 Restaurants in Montreal",4.5,613
77,Milos,http://www.tripadvisor.ca/Restaurant_Review-g155032-d687281-Reviews-Milos-Montreal_Quebec.html,+1 514-272-3522,,Website,"5357 av. du Parc Between rue St-Viateur and av. Fairmont, Montreal, Quebec H2V 4G9 Canada","#78 of 4,030 Restaurants in Montreal",4.5,787
78,O'Thym,http://www.tripadvisor.ca/Restaurant_Review-g155032-d783513-Reviews-O_Thym-Montreal_Quebec.html,+1 514-525-3443,,Website,"1112, boulevard de Maisonneuve Est, Montreal, Quebec H2L 1Z5 Canada","#79 of 4,030 Restaurants in Montreal",4.5,400
79,ZIBO! Griffintown,http://www.tripadvisor.ca/Restaurant_Review-g155032-d7136318-Reviews-ZIBO_Griffintown-Montreal_Quebec.html,+1 514-934-4525,,Website,"90, Rue Peel, Montreal, Quebec H3C 0L8 Canada","#80 of 4,030 Restaurants in Montreal",4.5,288
80,The Keg Steakhouse + Bar - Vieux-Montreal,http://www.tripadvisor.ca/Restaurant_Review-g155032-d706116-Reviews-The_Keg_Steakhouse_Bar_Vieux_Montreal-Montreal_Quebec.html,+1 514-871-9093,mailto:kegcommunity@kegrestaurants.com,Website,"25 Rue St. Paul Est., Montreal, Quebec H2Y 1G2 Canada","#81 of 4,030 Restaurants in Montreal",4.5,"1,399"
81,Grenadine,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1101176-Reviews-Grenadine-Montreal_Quebec.html,+1 514-287-0099,,Website,"2004 Avenue de l'Hotel-de-Ville, Montreal, Quebec H2X 3B2 Canada","#82 of 4,030 Restaurants in Montreal",4.5,244
82,Toque,http://www.tripadvisor.ca/Restaurant_Review-g155032-d708350-Reviews-Toque-Montreal_Quebec.html,+1 514-499-2084,mailto:info@restaurant-toque.com,Website,"900 Place Jean-Paul-Riopelle, Montreal, Quebec H2Z 2B2 Canada","#83 of 4,030 Restaurants in Montreal",4.5,"1,017"
83,Burger Bar Crescent,http://www.tripadvisor.ca/Restaurant_Review-g155032-d3143096-Reviews-Burger_Bar_Crescent-Montreal_Quebec.html,+1 514-903-5575,mailto:ari.burgerbar@gmail.com,Website,"1465 Crescent Montreal, Quebec H3G 2B2, Montreal, Quebec H3G 2B2 Canada","#84 of 4,030 Restaurants in Montreal",4.5,830
84,Jardin Nelson,http://www.tripadvisor.ca/Restaurant_Review-g155032-d706114-Reviews-Jardin_Nelson-Montreal_Quebec.html,+1 514-861-5731,mailto:info@jardinnelson.com,Website,"407, Place Jacques-Cartier Vieux-Montreal, Montreal, Quebec H2Y 3B1 Canada","#85 of 4,030 Restaurants in Montreal",4.5,"2,700"
85,Restaurant Les Pyrenees,http://www.tripadvisor.ca/Restaurant_Review-g155032-d1514239-Reviews-Restaurant_Les_Pyrenees-Montreal_Quebec.html,+1 514-842-5566,mailto:lespyrenees@videotron.ca,Website,"320 St-Paul Ouest, Montreal, Quebec H2Y 2A3 Canada","#87 of 4,030 Restaurants in Montreal",4.5,826
